HR,timeUnix,SUBJ_ID
51.82,1612524423.0,103
51.93,1612524424.0,103
52.03,1612524425.0,103
52.38,1612524426.0,103
52.73,1612524427.0,103
53.05,1612524428.0,103
53.4,1612524429.0,103
53.77,1612524430.0,103
54.13,1612524431.0,103
54.58,1612524432.0,103
55.03,1612524433.0,103
55.52,1612524434.0,103
56.0,1612524435.0,103
56.42,1612524436.0,103
56.82,1612524437.0,103
57.2,1612524438.0,103
57.58,1612524439.0,103
57.98,1612524440.0,103
58.37,1612524441.0,103
58.67,1612524442.0,103
59.35,1612524443.0,103
60.02,1612524444.0,103
60.82,1612524445.0,103
61.68,1612524446.0,103
62.5,1612524447.0,103
63.3,1612524448.0,103
64.13,1612524449.0,103
64.95,1612524450.0,103
65.8,1612524451.0,103
66.65,1612524452.0,103
67.52,1612524453.0,103
68.37,1612524454.0,103
69.2,1612524455.0,103
70.08,1612524456.0,103
70.98,1612524457.0,103
71.88,1612524458.0,103
72.7,1612524459.0,103
73.52,1612524460.0,103
74.47,1612524461.0,103
75.42,1612524462.0,103
76.35,1612524463.0,103
77.22,1612524464.0,103
78.07,1612524465.0,103
78.8,1612524466.0,103
79.55,1612524467.0,103
80.32,1612524468.0,103
81.08,1612524469.0,103
81.85,1612524470.0,103
82.6,1612524471.0,103
83.25,1612524472.0,103
83.88,1612524473.0,103
84.45,1612524474.0,103
85.0,1612524475.0,103
85.55,1612524476.0,103
85.97,1612524477.0,103
86.4,1612524478.0,103
86.8,1612524479.0,103
87.27,1612524480.0,103
87.75,1612524481.0,103
88.15,1612524482.0,103
88.57,1612524483.0,103
89.18,1612524484.0,103
89.87,1612524485.0,103
90.3,1612524486.0,103
90.67,1612524487.0,103
91.02,1612524488.0,103
91.38,1612524489.0,103
91.75,1612524490.0,103
92.1,1612524491.0,103
92.33,1612524492.0,103
92.77,1612524493.0,103
93.13,1612524494.0,103
93.48,1612524495.0,103
93.92,1612524496.0,103
94.4,1612524497.0,103
94.93,1612524498.0,103
95.43,1612524499.0,103
95.93,1612524500.0,103
96.43,1612524501.0,103
96.95,1612524502.0,103
97.07,1612524503.0,103
97.23,1612524504.0,103
97.28,1612524505.0,103
97.25,1612524506.0,103
97.3,1612524507.0,103
97.35,1612524508.0,103
97.33,1612524509.0,103
97.48,1612524510.0,103
97.57,1612524511.0,103
97.67,1612524512.0,103
97.0,1612524513.0,103
96.35,1612524514.0,103
95.73,1612524515.0,103
67.0,1614340005.0,104
68.0,1614340006.0,104
68.33,1614340007.0,104
68.5,1614340008.0,104
68.8,1614340009.0,104
70.33,1614340010.0,104
71.71,1614340011.0,104
72.88,1614340012.0,104
73.67,1614340013.0,104
74.4,1614340014.0,104
75.09,1614340015.0,104
75.67,1614340016.0,104
76.08,1614340017.0,104
76.36,1614340018.0,104
76.6,1614340019.0,104
76.88,1614340020.0,104
77.12,1614340021.0,104
77.33,1614340022.0,104
77.53,1614340023.0,104
77.65,1614340024.0,104
77.76,1614340025.0,104
77.95,1614340026.0,104
78.17,1614340027.0,104
78.38,1614340028.0,104
78.48,1614340029.0,104
79.38,1614340030.0,104
79.96,1614340031.0,104
80.57,1614340032.0,104
80.97,1614340033.0,104
81.33,1614340034.0,104
81.81,1614340035.0,104
82.25,1614340036.0,104
82.82,1614340037.0,104
83.29,1614340038.0,104
82.83,1614340039.0,104
82.69,1614340040.0,104
82.68,1614340041.0,104
82.71,1614340042.0,104
82.79,1614340043.0,104
82.9,1614340044.0,104
83.05,1614340045.0,104
83.21,1614340046.0,104
83.37,1614340047.0,104
83.5,1614340048.0,104
83.6,1614340049.0,104
83.7,1614340050.0,104
83.79,1614340051.0,104
83.88,1614340052.0,104
83.92,1614340053.0,104
83.94,1614340054.0,104
83.94,1614340055.0,104
83.94,1614340056.0,104
83.96,1614340057.0,104
83.98,1614340058.0,104
83.98,1614340059.0,104
83.98,1614340060.0,104
83.98,1614340061.0,104
83.98,1614340062.0,104
83.98,1614340063.0,104
83.98,1614340064.0,104
84.25,1614340065.0,104
84.47,1614340066.0,104
84.68,1614340067.0,104
84.88,1614340068.0,104
85.08,1614340069.0,104
85.15,1614340070.0,104
85.18,1614340071.0,104
85.22,1614340072.0,104
85.28,1614340073.0,104
85.35,1614340074.0,104
85.4,1614340075.0,104
85.47,1614340076.0,104
85.55,1614340077.0,104
85.67,1614340078.0,104
85.77,1614340079.0,104
85.83,1614340080.0,104
85.87,1614340081.0,104
85.88,1614340082.0,104
85.88,1614340083.0,104
85.88,1614340084.0,104
85.88,1614340085.0,104
85.85,1614340086.0,104
85.8,1614340087.0,104
85.73,1614340088.0,104
85.7,1614340089.0,104
85.32,1614340090.0,104
85.05,1614340091.0,104
84.75,1614340092.0,104
84.53,1614340093.0,104
84.3,1614340094.0,104
83.98,1614340095.0,104
83.65,1614340096.0,104
83.25,1614340097.0,104
82.88,1614340098.0,104
83.07,1614340099.0,104
83.08,1614340100.0,104
83.02,1614340101.0,104
82.93,1614340102.0,104
82.82,1614340103.0,104
82.68,1614340104.0,104
82.52,1614340105.0,104
82.33,1614340106.0,104
82.13,1614340107.0,104
81.95,1614340108.0,104
81.78,1614340109.0,104
81.62,1614340110.0,104
81.45,1614340111.0,104
81.32,1614340112.0,104
81.22,1614340113.0,104
81.13,1614340114.0,104
81.07,1614340115.0,104
81.0,1614340116.0,104
80.92,1614340117.0,104
80.83,1614340118.0,104
80.77,1614340119.0,104
80.7,1614340120.0,104
80.63,1614340121.0,104
80.58,1614340122.0,104
80.53,1614340123.0,104
80.48,1614340124.0,104
80.45,1614340125.0,104
80.45,1614340126.0,104
80.45,1614340127.0,104
80.47,1614340128.0,104
80.48,1614340129.0,104
80.5,1614340130.0,104
80.52,1614340131.0,104
80.52,1614340132.0,104
80.5,1614340133.0,104
80.47,1614340134.0,104
80.42,1614340135.0,104
80.35,1614340136.0,104
80.3,1614340137.0,104
80.23,1614340138.0,104
80.17,1614340139.0,104
80.12,1614340140.0,104
80.08,1614340141.0,104
80.05,1614340142.0,104
80.03,1614340143.0,104
80.02,1614340144.0,104
80.0,1614340145.0,104
79.97,1614340146.0,104
79.93,1614340147.0,104
79.9,1614340148.0,104
79.87,1614340149.0,104
79.83,1614340150.0,104
79.8,1614340151.0,104
79.77,1614340152.0,104
79.73,1614340153.0,104
79.72,1614340154.0,104
79.73,1614340155.0,104
79.77,1614340156.0,104
79.78,1614340157.0,104
79.8,1614340158.0,104
79.8,1614340159.0,104
79.78,1614340160.0,104
79.78,1614340161.0,104
79.77,1614340162.0,104
79.77,1614340163.0,104
79.78,1614340164.0,104
79.8,1614340165.0,104
79.82,1614340166.0,104
79.83,1614340167.0,104
79.85,1614340168.0,104
79.87,1614340169.0,104
79.88,1614340170.0,104
79.92,1614340171.0,104
79.92,1614340172.0,104
79.92,1614340173.0,104
79.92,1614340174.0,104
