dtIBI,IBI,timeUnix,SUBJ_ID
15.515625,0.953125,1622447352.515625,101
16.4375,0.921875,1622447353.4375,101
17.40625,0.96875,1622447354.40625,101
18.34375,0.9375,1622447355.34375,101
19.21875,0.875,1622447356.21875,101
20.140625,0.921875,1622447357.140625,101
21.046875,0.90625,1622447358.046875,101
21.78125,0.734375,1622447358.78125,101
22.5,0.71875,1622447359.5,101
23.265625,0.765625,1622447360.265625,101
24.0625,0.796875,1622447361.0625,101
40.03125,0.765625,1622447377.03125,101
40.765625,0.734375,1622447377.765625,101
41.5625,0.796875,1622447378.5625,101
42.359375,0.796875,1622447379.359375,101
43.171875,0.8125,1622447380.171875,101
43.984375,0.8125,1622447380.984375,101
44.765625,0.78125,1622447381.765625,101
45.59375,0.828125,1622447382.59375,101
46.46875,0.875,1622447383.46875,101
47.3125,0.84375,1622447384.3125,101
48.078125,0.765625,1622447385.078125,101
48.984375,0.90625,1622447385.984375,101
54.125,0.84375,1622447391.125,101
54.859375,0.734375,1622447391.859375,101
55.546875,0.6875,1622447392.546875,101
56.4375,0.890625,1622447393.4375,101
57.25,0.8125,1622447394.25,101
58.09375,0.84375,1622447395.09375,101
58.953125,0.859375,1622447395.953125,101
59.890625,0.9375,1622447396.890625,101
60.765625,0.875,1622447397.765625,101
61.671875,0.90625,1622447398.671875,101
62.5,0.828125,1622447399.5,101
63.3125,0.8125,1622447400.3125,101
64.203125,0.890625,1622447401.203125,101
65.15625,0.953125,1622447402.15625,101
66.09375,0.9375,1622447403.09375,101
66.96875,0.875,1622447403.96875,101
67.875,0.90625,1622447404.875,101
68.8125,0.9375,1622447405.8125,101
69.640625,0.828125,1622447406.640625,101
70.390625,0.75,1622447407.390625,101
71.328125,0.9375,1622447408.328125,101
72.40625,1.078125,1622447409.40625,101
73.359375,0.953125,1622447410.359375,101
74.296875,0.9375,1622447411.296875,101
75.234375,0.9375,1622447412.234375,101
76.046875,0.8125,1622447413.046875,101
76.890625,0.84375,1622447413.890625,101
77.75,0.859375,1622447414.75,101
78.59375,0.84375,1622447415.59375,101
79.453125,0.859375,1622447416.453125,101
80.265625,0.8125,1622447417.265625,101
81.171875,0.90625,1622447418.171875,101
82.078125,0.90625,1622447419.078125,101
82.96875,0.890625,1622447419.96875,101
83.8125,0.84375,1622447420.8125,101
84.59375,0.78125,1622447421.59375,101
85.28125,0.6875,1622447422.28125,101
86.03125,0.75,1622447423.03125,101
86.828125,0.796875,1622447423.828125,101
87.65625,0.828125,1622447424.65625,101
88.5,0.84375,1622447425.5,101
89.328125,0.828125,1622447426.328125,101
90.125,0.796875,1622447427.125,101
91.0,0.875,1622447428.0,101
91.875,0.875,1622447428.875,101
92.71875,0.84375,1622447429.71875,101
93.546875,0.828125,1622447430.546875,101
94.390625,0.84375,1622447431.390625,101
95.25,0.859375,1622447432.25,101
96.078125,0.828125,1622447433.078125,101
96.875,0.796875,1622447433.875,101
97.671875,0.796875,1622447434.671875,101
98.5,0.828125,1622447435.5,101
99.328125,0.828125,1622447436.328125,101
100.09375,0.765625,1622447437.09375,101
100.84375,0.75,1622447437.84375,101
101.625,0.78125,1622447438.625,101
102.46875,0.84375,1622447439.46875,101
103.3125,0.84375,1622447440.3125,101
104.125,0.8125,1622447441.125,101
105.0,0.875,1622447442.0,101
105.9375,0.9375,1622447442.9375,101
106.765625,0.828125,1622447443.765625,101
107.609375,0.84375,1622447444.609375,101
108.46875,0.859375,1622447445.46875,101
109.34375,0.875,1622447446.34375,101
110.171875,0.828125,1622447447.171875,101
110.9375,0.765625,1622447447.9375,101
111.625,0.6875,1622447448.625,101
112.296875,0.671875,1622447449.296875,101
113.0625,0.765625,1622447450.0625,101
118.03125,0.953125,1622447455.03125,101
123.15625,0.875,1622447460.15625,101
124.0625,0.90625,1622447461.0625,101
125.015625,0.953125,1622447462.015625,101
125.96875,0.953125,1622447462.96875,101
126.9375,0.96875,1622447463.9375,101
127.859375,0.921875,1622447464.859375,101
128.703125,0.84375,1622447465.703125,101
129.578125,0.875,1622447466.578125,101
130.375,0.796875,1622447467.375,101
131.109375,0.734375,1622447468.109375,101
131.78125,0.671875,1622447468.78125,101
132.4375,0.65625,1622447469.4375,101
133.1875,0.75,1622447470.1875,101
133.890625,0.703125,1622447470.890625,101
134.703125,0.8125,1622447471.703125,101
135.546875,0.84375,1622447472.546875,101
136.375,0.828125,1622447473.375,101
137.140625,0.765625,1622447474.140625,101
137.84375,0.703125,1622447474.84375,101
138.5625,0.71875,1622447475.5625,101
139.3125,0.75,1622447476.3125,101
140.140625,0.828125,1622447477.140625,101
140.96875,0.828125,1622447477.96875,101
141.859375,0.890625,1622447478.859375,101
142.75,0.890625,1622447479.75,101
143.640625,0.890625,1622447480.640625,101
144.484375,0.84375,1622447481.484375,101
145.265625,0.78125,1622447482.265625,101
146.046875,0.78125,1622447483.046875,101
146.84375,0.796875,1622447483.84375,101
147.53125,0.6875,1622447484.53125,101
148.328125,0.796875,1622447485.328125,101
149.109375,0.78125,1622447486.109375,101
149.953125,0.84375,1622447486.953125,101
150.8125,0.859375,1622447487.8125,101
151.625,0.8125,1622447488.625,101
152.40625,0.78125,1622447489.40625,101
153.140625,0.734375,1622447490.140625,101
153.859375,0.71875,1622447490.859375,101
