timeUnix,SUBJ_ID
1622447672.5,101
1612524511.05,103
1614340329.8,104
1614792773.94,105
1616168078.38,106
1616757120.59,107
1634559777.7,108
1634560163.55,108
1634560208.72,108
1634560268.3,108
1634560334.0,108
1634560350.42,108
1634560383.88,108
1634560398.77,108
1634560426.86,108
1622797761.75,109
1623230079.23,110
1625045851.84,111
1625046267.69,111
1625046313.91,111
1625046337.34,111
1625046404.67,111
1625046428.02,111
1625046460.7,111
1625046476.23,111
1625046503.27,111
1635150209.56,112
1635150587.19,112
1635150618.39,112
1635150641.08,112
1635150687.08,112
1635150703.25,112
1635150769.89,112
1635150787.95,112
1635150814.3,112
1631095493.48,113
1631095934.06,113
1631095980.86,113
1631095995.31,113
1631096023.33,113
1631096040.45,113
1631096107.23,113
1631096128.78,113
1631096160.42,113
1631269150.44,114
1631269509.41,114
1631269575.28,114
1631269593.89,114
1631269624.84,114
1631269638.12,114
1631269663.97,114
1631269676.44,114
1631269722.17,114
1636111002.34,115
1636111363.97,115
1636111412.91,115
1636111430.59,115
1636111461.22,115
1636111473.66,115
1636111499.19,115
1636111512.52,115
1636111579.28,115
1638548854.42,116
1638549243.34,116
1638549290.2,116
1638549309.3,116
1638549375.41,116
1638549394.89,116
1638549420.88,116
1638549435.53,116
1638549466.98,116
1643623820.83,117
1643624181.61,117
1643624211.81,117
1643624224.3,117
1643624289.81,117
1643624302.05,117
1643624348.59,117
1643624362.52,117
1643624389.7,117
1643365429.02,118
1643365779.47,118
1643365804.92,118
1643365818.88,118
1643365885.48,118
1643365900.0,118
1643365945.8,118
1643365957.91,118
1643365989.05,118
1646387312.3,119
1646387701.42,119
1646387731.44,119
1646387743.12,119
1646387769.08,119
1646387782.31,119
1646387848.14,119
1646387892.75,119
1646387939.23,119
1650278819.12,120
1650279185.22,120
1650279211.39,120
1650279225.52,120
1650279271.19,120
1650279283.59,120
1650279315.14,120
1650279329.97,120
1650279397.2,120
1652439867.86,122
1652440210.7,122
1652440236.77,122
1652440250.61,122
1652440316.64,122
1652440329.62,122
1652440360.72,122
1652440372.45,122
1652440418.62,122
1657274559.95,123
1657274909.16,123
1657274919.5,123
1641751106.88,202
1622451131.19,203
1633174564.05,204
1633174939.72,204
1633174965.3,204
1633174984.03,204
1633175030.44,204
1633175045.59,204
1633175111.91,204
1633175124.64,204
1633175157.48,204
